Time Period Start,Time Period End,Time Open,Time Close,Price Open,Price High,Price Low,Price Close,Volume Traded,Trades Count
2017-05-01T00:00:00.0000000Z,2017-05-08T00:00:00.0000000Z,2017-05-01T00:00:14.4770000Z,2017-05-07T23:59:58.9440000Z,16.2,36,14.66353,30.62,5381829.087,285215
2017-04-24T00:00:00.0000000Z,2017-05-01T00:00:00.0000000Z,2017-04-24T00:00:21.4770000Z,2017-04-30T23:59:02.8310000Z,15.38,16.74,13.47,16.2,2133361.14,90326
2017-04-17T00:00:00.0000000Z,2017-04-24T00:00:00.0000000Z,2017-04-17T00:00:32.7090000Z,2017-04-23T23:58:53.2000000Z,11.7,16.14,10.00029,15.38,2437513.934,85351
2017-04-10T00:00:00.0000000Z,2017-04-17T00:00:00.0000000Z,2017-04-10T00:06:12.9320000Z,2017-04-16T23:58:41.2800000Z,9.36,12.7,8.89,11.7,1360267.511,50949
2017-04-03T00:00:00.0000000Z,2017-04-10T00:00:00.0000000Z,2017-04-03T00:00:03.0460000Z,2017-04-09T23:59:47.6790000Z,8.37,13.76999,7.5,9.26,2743830.902,76076
2017-03-27T00:00:00.0000000Z,2017-04-03T00:00:00.0000000Z,2017-03-27T00:15:40.5510000Z,2017-04-02T23:59:36.5270000Z,4.05138,9.9,3.99474,8.34,1326206.975,35920
2017-03-20T00:00:00.0000000Z,2017-03-27T00:00:00.0000000Z,2017-03-20T00:11:18.6070000Z,2017-03-26T23:58:50.8950000Z,3.94,4.5,3.62,4.1,244017.1732,8671
2017-03-13T00:00:00.0000000Z,2017-03-20T00:00:00.0000000Z,2017-03-13T00:01:20.2790000Z,2017-03-19T23:50:32.6580000Z,3.93,4.61,3.69,3.93,220587.7907,12072
2017-03-06T00:00:00.0000000Z,2017-03-13T00:00:00.0000000Z,2017-03-06T00:00:11.3530000Z,2017-03-12T23:49:08.4690000Z,4.01,4.26,3.68,3.85081,97975.6848,6152
2017-02-27T00:00:00.0000000Z,2017-03-06T00:00:00.0000000Z,2017-02-27T00:05:51.3880000Z,2017-03-05T23:58:07.8540000Z,3.89,4.5,3.76,4.02,84322.61193,3956
